timestamp_s,x,y,yaw,seq
9.600000,17.00000,2.00000,0.000000,8
9.600000,18.00000,2.00000,-0.244979,9
9.600000,19.00000,1.75000,-0.244979,10
9.600000,20.00000,1.50000,-0.244979,11
9.600000,21.00000,1.25000,-0.463648,12
9.600000,22.00000,0.75000,-0.463648,13
9.600000,23.00000,0.25000,-0.244979,14
9.600000,24.00000,0.00000,-0.244979,15
9.600000,25.00000,-0.25000,-0.463648,16
9.600000,26.00000,-0.75000,-0.463648,17
9.600000,27.00000,-1.25000,-0.244979,18
9.600000,28.00000,-1.50000,0.000000,19
9.600000,29.00000,-1.50000,0.000000,20
9.600000,30.00000,-1.50000,0.000000,21
9.600000,31.00000,-1.50000,0.463648,22
9.600000,32.00000,-1.00000,0.244979,23
9.600000,33.00000,-0.75000,0.244979,24
9.600000,34.00000,-0.50000,0.000000,25
9.600000,35.00000,-0.50000,0.000000,26
9.600000,36.00000,-0.50000,0.000000,27
9.600000,37.00000,-0.50000,0.000000,28
9.600000,38.00000,-0.50000,0.000000,29
9.600000,39.00000,-0.50000,0.000000,30
9.700000,9.14489,0.62503,0.145119,0
9.700000,10.00000,0.75000,0.000000,1
9.700000,11.00000,0.75000,0.000000,2
9.700000,12.00000,0.75000,0.000000,3
9.700000,13.00000,0.75000,0.244979,4
9.700000,14.00000,1.00000,0.463648,5
9.700000,15.00000,1.50000,0.463648,6
9.700000,16.00000,2.00000,0.000000,7
9.700000,17.00000,2.00000,0.000000,8
9.700000,18.00000,2.00000,-0.244979,9
9.700000,19.00000,1.75000,-0.244979,10
9.700000,20.00000,1.50000,-0.244979,11
9.700000,21.00000,1.25000,-0.463648,12
9.700000,22.00000,0.75000,-0.463648,13
9.700000,23.00000,0.25000,-0.244979,14
9.700000,24.00000,0.00000,-0.244979,15
9.700000,25.00000,-0.25000,-0.463648,16
9.700000,26.00000,-0.75000,-0.463648,17
9.700000,27.00000,-1.25000,-0.244979,18
9.700000,28.00000,-1.50000,0.000000,19
9.700000,29.00000,-1.50000,0.000000,20
9.700000,30.00000,-1.50000,0.000000,21
9.700000,31.00000,-1.50000,0.463648,22
9.700000,32.00000,-1.00000,0.244979,23
9.700000,33.00000,-0.75000,0.244979,24
9.700000,34.00000,-0.50000,0.000000,25
9.700000,35.00000,-0.50000,0.000000,26
9.700000,36.00000,-0.50000,0.000000,27
9.700000,37.00000,-0.50000,0.000000,28
9.700000,38.00000,-0.50000,0.000000,29
9.700000,39.00000,-0.50000,0.000000,30
9.800000,9.23127,0.59455,0.199523,0
9.800000,10.00000,0.75000,0.000000,1
9.800000,11.00000,0.75000,0.000000,2
9.800000,12.00000,0.75000,0.000000,3
9.800000,13.00000,0.75000,0.244979,4
9.800000,14.00000,1.00000,0.463648,5
9.800000,15.00000,1.50000,0.463648,6
9.800000,16.00000,2.00000,0.000000,7
9.800000,17.00000,2.00000,0.000000,8
9.800000,18.00000,2.00000,0.000000,9
9.800000,19.00000,2.00000,-0.244979,10
9.800000,20.00000,1.75000,-0.463648,11
9.800000,21.00000,1.25000,-0.463648,12
9.800000,22.00000,0.75000,-0.463648,13
9.800000,23.00000,0.25000,-0.244979,14
9.800000,24.00000,0.00000,-0.244979,15
9.800000,25.00000,-0.25000,-0.463648,16
9.800000,26.00000,-0.75000,-0.463648,17
9.800000,27.00000,-1.25000,-0.244979,18
9.800000,28.00000,-1.50000,0.000000,19
9.800000,29.00000,-1.50000,0.000000,20
9.800000,30.00000,-1.50000,0.000000,21
9.800000,31.00000,-1.50000,0.463648,22
9.800000,32.00000,-1.00000,0.244979,23
9.800000,33.00000,-0.75000,0.244979,24
9.800000,34.00000,-0.50000,0.000000,25
9.800000,35.00000,-0.50000,0.000000,26
9.800000,36.00000,-0.50000,0.000000,27
9.800000,37.00000,-0.50000,0.000000,28
9.800000,38.00000,-0.50000,0.000000,29
9.800000,39.00000,-0.50000,0.000000,30
9.900000,9.29370,0.61987,0.107461,0
9.900000,10.50000,0.75000,0.000000,1
9.900000,11.50000,0.75000,0.000000,2
9.900000,12.50000,0.75000,0.000000,3
9.900000,13.50000,0.75000,0.244979,4
9.900000,14.50000,1.00000,0.463648,5
9.900000,15.50000,1.50000,0.463648,6
9.900000,16.50000,2.00000,0.000000,7
9.900000,17.50000,2.00000,0.000000,8
9.900000,18.50000,2.00000,-0.244979,9
9.900000,19.50000,1.75000,-0.244979,10
9.900000,20.50000,1.50000,-0.463648,11
9.900000,21.50000,1.00000,-0.463648,12
9.900000,22.50000,0.50000,-0.463648,13
9.900000,23.50000,0.00000,-0.244979,14
9.900000,24.50000,-0.25000,-0.463648,15
9.900000,25.50000,-0.75000,-0.463648,16
9.900000,26.50000,-1.25000,-0.244979,17
9.900000,27.50000,-1.50000,0.000000,18
9.900000,28.50000,-1.50000,0.000000,19
9.900000,29.50000,-1.50000,0.000000,20
9.900000,30.50000,-1.50000,0.244979,21
9.900000,31.50000,-1.25000,0.244979,22
9.900000,32.50000,-1.00000,0.244979,23
9.900000,33.50000,-0.75000,0.244979,24
9.900000,34.50000,-0.50000,0.000000,25
9.900000,35.50000,-0.50000,0.000000,26
9.900000,36.50000,-0.50000,0.000000,27
9.900000,37.50000,-0.50000,0.000000,28
9.900000,38.50000,-0.50000,0.000000,29
9.900000,39.50000,-0.50000,0.000000,30
10.000000,9.41371,0.63901,0.101819,0
10.000000,10.50000,0.75000,0.000000,1
10.000000,11.50000,0.75000,0.000000,2
10.000000,12.50000,0.75000,0.000000,3
10.000000,13.50000,0.75000,0.244979,4
10.000000,14.50000,1.00000,0.463648,5
10.000000,15.50000,1.50000,0.463648,6
10.000000,16.50000,2.00000,0.000000,7
10.000000,17.50000,2.00000,0.000000,8
10.000000,18.50000,2.00000,-0.244979,9
10.000000,19.50000,1.75000,-0.244979,10
10.000000,20.50000,1.50000,-0.463648,11
10.000000,21.50000,1.00000,-0.463648,12
